119,"BROCA DE CONCRETO DE 5/8""",normal,pieza,2,INM-008,Herramienta,"Julio Avalos"
120,"BROCAS DE METAL DE 3/4""",normal,pieza,2,INM-008,Herramienta,"Julio Avalos"
121,"BROCAS DE METAL DE 1/2""",normal,pieza,3,INM-008,Herramienta,"Julio Avalos"
122,"BROCAS DE METAL DE 3/8""",normal,pieza,1,INM-008,Herramienta,"Julio Avalos"
123,"BROCAS DE METAL DE 7/8""",normal,pieza,1,INM-008,Herramienta,"Julio Avalos"
124,"BROCAS DE METAL DE 5/8""",normal,pieza,2,INM-008,Herramienta,"Julio Avalos"
125,"DESARMADOR PLANO",normal,pieza,3,INM-008,Herramienta,"Julio Avalos"
126,"DESARMADOR DE CRUZ",normal,pieza,1,INM-008,Herramienta,"Julio Avalos"
127,"MANOMETRO DE OXICORTE DE GAS",normal,pieza,1,INM-008,Herramienta,"Julio Avalos"
128,"MANOMETRO DE OXICORTE DE OXIGENO",normal,pieza,1,INM-008,Herramienta,"Julio Avalos"
129,"REMACHADORA DE ACORDEON TRUPER",normal,pieza,1,INM-008,Herramienta,"Julio Avalos"
130,"CEPILLO DE ALAMBRE 51 ",normal,pieza,4,INM-008,Herramienta,"Julio Avalos"
131,"ESCUADRAS DE 24""",normal,pieza,3,INM-008,Herramienta,"Julio Avalos"
132,"ESCUADRAS DE 12""",normal,pieza,1,INM-008,Herramienta,"Julio Avalos"
133,"FLEXOMETRO DE 8m",normal,pieza,2,INM-008,Herramienta,"Julio Avalos"
134,"FLEXOMETRO DE 5m",normal,pieza,2,INM-008,Herramienta,"Julio Avalos"
135,"BARRETA DE UÑA DE 3/4""",normal,pieza,2,INM-008,Herramienta,"Julio Avalos"
136,"PRENSA NODULAR DE 8""",normal,pieza,6,INM-008,Herramienta,"Julio Avalos"
137,"PRENSA NODULAR DE 4""",normal,pieza,3,INM-008,Herramienta,"Julio Avalos"
138,"PRENSA NODULAR DE 6""",normal,pieza,1,INM-008,Herramienta,"Julio Avalos"
139,"PRENSA NODULAR DE 2""",normal,pieza,1,INM-008,Herramienta,"Julio Avalos"
140,CUTTER,normal,pieza,1,INM-008,Herramienta,"Julio Avalos"
141,"ESCUADRA MAGNETICA DE 4""",normal,pieza,1,INM-008,Herramienta,"Julio Avalos"
142,"CARETAS FACIALES",normal,pieza,2,INM-008,Herramienta,"Julio Avalos"
143,"CARETAS ELECTRONICAS PARA SOLDADOR ",normal,pieza,4,INM-008,Herramienta,"Julio Avalos"
144,"MAQUINA MICROALAMBRE ",normal,pieza,3,INM-008,Herramienta,"Julio Avalos"
145,"MAQUINA FLUX CORE",normal,pieza,1,INM-008,Herramienta,"Julio Avalos"
146,"MAQUINA INVERSORA",normal,pieza,1,INM-008,Herramienta,"Julio Avalos"
147,"NIVEL DEWALT 72""",normal,pieza,1,INM-008,Herramienta,"Julio Avalos"
148,"EQUIPOS DE CORTE ",normal,pieza,2,INM-008,Herramienta,"Julio Avalos"
149,"ANTORCHA PARA TIG",normal,pieza,1,INM-008,Herramienta,"Julio Avalos"
150,"TIRALINEAS TRUPER",normal,pieza,2,INM-008,Herramienta,"Julio Avalos"
151,"MANOMETRO DE CO2",normal,pieza,5,INM-008,Herramienta,"Julio Avalos"
152,"EXTENSION DE 15m",normal,pieza,1,INM-008,Herramienta,"Julio Avalos"
153,"EXTENCION DE 25m",normal,pieza,1,INM-008,Herramienta,"Julio Avalos"
154,"MAQUINA CORTADORA MANUAL BOSCH ",normal,pieza,1,INM-008,Herramienta,"Julio Avalos"
155,Mazeta,bueno,pieza,1,INM-007,"Albañileria","Marco Antonio"
156,"ESMERIL 1/2""",bueno,pieza,1,INM-007,"Albañileria","Marco Antonio"
157,"MARTILLO DE GOMA",bueno,pieza,2,INM-007,"Albañileria","Marco Antonio"
